pr_sq_ft,fsid,saleyear,x,y
187.5,240472092738,2015,-75.15306609451,38.3565739555453
187.5,240472092738,2015,-75.15306609451,38.3565739555453
29.375,240472092739,2011,-75.3977482665377,38.1817967389708
29.375,240472092739,2011,-75.3977482665377,38.1817967389708
162.324649298597,240472092742,2016,-75.223903611801,38.3263466776439
88.7978142076503,240472092744,2011,-75.1471450289803,38.3715565037937
88.7978142076503,240472092744,2011,-75.1471450289803,38.3715565037937
68.5215946843854,240472092748,2009,-75.1520366595076,38.4202050054306
52.3255813953488,240472092748,2010,-75.1520366595076,38.4202050054306
51.0797342192691,240472092748,2015,-75.1520366595076,38.4202050054306
52.3255813953488,240472092748,2010,-75.1520366595076,38.4202050054306
142.270375161708,240472092750,2016,-75.1751711052875,38.2964189170061
122.38219895288,240472092751,2012,-75.1528582479983,38.3757693593886
122.38219895288,240472092751,2012,-75.1528582479983,38.3757693593886
123.958333333333,240472092761,2013,-75.1416652070403,38.3800637667746
123.958333333333,240472092761,2013,-75.1416652070403,38.3800637667746
157.315731573157,240472092762,2016,-75.1497112764229,38.3695093195781
130.016722408027,240472092764,2007,-75.205913721603,38.3167788485369
130.016722408027,240472092764,2007,-75.205913721603,38.3167788485369
232.558139534884,240472092768,2016,-75.1071546152474,38.3305623227588
85.5072463768116,240472092773,2013,-75.2037134892539,38.3250109236088
76.9927536231884,240472092773,2015,-75.2037134892539,38.3250109236088
85.5072463768116,240472092773,2014,-75.2037134892539,38.3250109236088
76.9927536231884,240472092773,2015,-75.2037134892539,38.3250109236088
156.25,240472092774,2016,-75.1144661091161,38.3450668870113
141.949152542373,240472092774,2010,-75.1144661091161,38.3450668870113
304.3718871057,240472092777,2005,-75.1354330125212,38.3742174239244
166.925465838509,240472092779,2008,-75.1487005270744,38.3643640759963
166.925465838509,240472092779,2008,-75.1487005270744,38.3643640759963
152.091254752852,240472092781,2017,-75.1161822408057,38.3486325827145
44.9515905947441,240472092784,2005,-75.3054283445588,38.4022293246238
173.053892215569,240472092787,2017,-75.1336462569131,38.2927664355566
190.868263473054,240472092787,2017,-75.1336462569131,38.2927664355566
127.12895377129,240472092795,2016,-75.1748362453367,38.3867389070676
45.0121654501217,240472092795,2015,-75.1748362453367,38.3867389070676
45.0121654501217,240472092795,2016,-75.1748362453367,38.3867389070676
62.323600973236,240472092795,2014,-75.1748362453367,38.3867389070676
127.164502164502,240472092797,2008,-75.3957295375715,38.1721412889422
127.164502164502,240472092797,2008,-75.3957295375715,38.1721412889422
126.786537574919,240472092800,2008,-75.1523868517121,38.3921385200131
126.786537574919,240472092800,2008,-75.1523868517121,38.3921385200131
133.702166897188,240472092800,2007,-75.1523868517121,38.3921385200131
112.179487179487,240472092801,2009,-75.2175076192073,38.4294623428516
